DELEVAR,VARINMODEL,nummissvar,modelnum,age3_lin_beta,age3_sp1_beta,age3_sp2_beta,gender_beta,R5EATA_beta,R5CANCRE_beta,R5DIABE_beta,heart1_beta,heart2_beta,R5HIBPE_beta,R5MEALSA_beta,R5MONEYA_beta,h5lvalone_beta,R5LUNGE_beta,R5PUSHA_beta,R5WALKSA_beta,bmi3_lin_beta,bmi3_sp1_beta,bmi3_sp2_beta,smoking1_beta,smoking2_beta,stroke1_beta,stroke2_beta
R5LUNGE smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,93,0.0423809413,0.0860713985,-0.280870787,-0.220008842,0.3308166049,0.1045237475,0.1653726015,0.010760324,-0.141725104,0.0770394055,0.2370682298,0.3774471217,-0.132934371,,0.1061434646,0.1692863908,0.0064644291,0.0098088101,-0.021236625,,,0.2195184178,0.207908301
R5LUNGE bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,94,0.0387783899,0.0876938803,-0.282512563,-0.215136832,0.3501066079,0.1031351043,0.1755742103,0.0060954977,-0.151174196,0.0861627066,0.2243298233,0.3712880513,-0.126713615,,0.1043608318,0.1934115542,,,,0.0127295217,-0.108259579,0.2105986614,0.1985746936
R5LUNGE R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,95,0.0406884828,0.0971537351,-0.306654679,-0.233141205,0.3499910233,0.1064675735,0.1798675231,0.0284263969,-0.107516572,0.0834696858,0.2836112481,0.3849826754,-0.129058069,,0.1514888293,,0.0017267053,0.0294607832,-0.073993311,0.0186604986,-0.045930035,0.232248052,0.2305644239
R5LUNGE R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,96,0.0436061894,0.0783280176,-0.258056538,-0.240590754,0.3518864062,0.1047873261,0.1667240056,0.0171316863,-0.126923443,0.0806696211,0.2628618713,0.3877022869,-0.126945899,,,0.202871415,0.0011720982,0.0209596309,-0.049365591,0.0136293923,-0.082396428,0.2227389044,0.2262709948
R5PUSHA stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,97,0.0431364342,0.0828243868,-0.274108028,-0.234344441,0.3518161106,0.109325608,0.1697224328,0.0271131902,-0.092646372,0.0909189456,0.2746598585,0.4156107527,-0.128624028,-0.027942137,,0.2166044897,0.0021274543,0.0139766269,-0.027097818,0.0202956243,-0.080026712,,
R5PUSHA smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,98,0.0441006916,0.0796952784,-0.262681768,-0.23764273,0.3484263309,0.1053721796,0.167033739,0.0201246345,-0.115904385,0.0806381376,0.268327954,0.3861474766,-0.130197317,-0.038561869,,0.1997616812,0.0023847082,0.0200137757,-0.047648895,,,0.2255267258,0.2304414765
R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA smoking1 smoking2 stroke1 stroke2,2,99,0.0406067278,0.0813788527,-0.264311689,-0.23591395,0.3658793958,0.1040124665,0.176682099,0.0158543609,-0.124268803,0.0890917782,0.2565418399,0.3802039671,-0.124445292,-0.039882263,,0.2232433573,,,,0.0170857591,-0.100057427,0.21659122,0.2197532034
R5PUSHA R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,100,0.0434265765,0.0889220615,-0.281270687,-0.266770455,0.3760125119,0.1085866351,0.1871651663,0.0451331575,-0.06886939,0.091001884,0.3368646031,0.3999619406,-0.125269912,0.0038645136,,,-0.004554448,0.0482927384,-0.124214812,0.0239867029,-0.0332452,0.2437795014,0.2652057812
R5WALKSA stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,101,0.0401998503,0.1021206569,-0.323771483,-0.225967579,0.3473735742,0.1116503832,0.1837075007,0.0384421789,-0.074973768,0.0938974887,0.2939868343,0.412861064,-0.130704091,-0.010669217,0.163712294,,0.0030523804,0.0223133615,-0.051604772,0.0242804132,-0.042964154,,
R5WALKSA smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,102,0.0410418044,0.0977551981,-0.309095093,-0.227666676,0.3472547848,0.1075070894,0.1800249236,0.0299454272,-0.101132532,0.0831658604,0.2856884685,0.3838523471,-0.13092241,-0.019925416,0.1520551958,,0.0025896466,0.028484022,-0.071814523,,,0.233881315,0.2333531077
R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA smoking1 smoking2 stroke1 stroke2,2,103,0.0367395763,0.1019887079,-0.316503428,-0.227955302,0.3702056175,0.1058747725,0.1964533752,0.0281850577,-0.103717797,0.0965322908,0.2793517838,0.3763233504,-0.125027269,-0.021085986,0.1570970062,,,,,0.0225696683,-0.067541369,0.2259347711,0.2234935393
bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2,2,104,0.0382515485,0.0928664634,-0.300517438,-0.207642385,0.3477934325,0.1072805287,0.1764247295,0.0157661564,-0.118346211,0.094664857,0.2338943209,0.3955897726,-0.128849925,-0.045351993,0.1143332323,0.2037079603,,,,0.0195515007,-0.103020982,,
bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA stroke1 stroke2,2,105,0.0391520746,0.0898217722,-0.289523145,-0.211314996,0.3471373486,0.1034883131,0.1768886725,0.0099418281,-0.136668877,0.0871887591,0.2310150584,0.367937891,-0.130842664,-0.057385297,0.1060436909,0.1902442632,,,,,,0.2135862397,0.2029223151
smoking1 smoking2 stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2,2,106,0.0417609513,0.0910036447,-0.298339516,-0.209369289,0.329896122,0.1090994662,0.1673755742,0.0202306585,-0.107803976,0.0862894391,0.2458038845,0.4024510427,-0.134618897,-0.04379348,0.1167048317,0.1813076327,0.0075284617,0.0024855183,0.0021785563,,,,
